Ensembl Protein ID	Ensembl Gene ID	Associated Gene Name
ENSP00000425809	ENSG00000013375	PGM3
ENSP00000394734	ENSG00000013441	CLK1
ENSP00000228347	ENSG00000013503	POLR3B
ENSP00000251089	ENSG00000013523	ANGEL1
ENSP00000324956	ENSG00000013561	RNF14
ENSP00000384703	ENSG00000013573	DDX11
ENSP00000014930	ENSG00000013583	HEBP1
ENSP00000014914	ENSG00000013588	GPRC5A
ENSP00000323280	ENSG00000013725	CD6
ENSP00000326550	ENSG00000013810	TACC3
ENSP00000358283	ENSG00000014123	UFL1
ENSP00000265465	ENSG00000014138	POLA2
ENSP00000262577	ENSG00000014164	ZC3H3
ENSP00000279247	ENSG00000014216	CAPN1
ENSP00000323036	ENSG00000014257	ACPP
ENSP00000438144	ENSG00000014641	MDH1
ENSP00000264451	ENSG00000014824	SLC30A9
ENSP00000391668	ENSG00000014914	MTMR11
ENSP00000016171	ENSG00000014919	COX15
ENSP00000374507	ENSG00000015133	CCDC88C
ENSP00000401859	ENSG00000015153	YAF2
ENSP00000365891	ENSG00000015285	WAS
ENSP00000261615	ENSG00000015413	DPEP1
ENSP00000318822	ENSG00000015475	BID
ENSP00000354346	ENSG00000015479	MATR3
ENSP00000289547	ENSG00000015520	NPC1L1
ENSP00000017003	ENSG00000015532	XYLT2
ENSP00000016946	ENSG00000015568	RGPD5
ENSP00000342538	ENSG00000015592	STMN4
ENSP00000347626	ENSG00000015676	NUDCD3
ENSP00000230658	ENSG00000016082	ISL1
ENSP00000319851	ENSG00000016391	CHDH
ENSP00000314976	ENSG00000016402	IL20RA
ENSP00000234701	ENSG00000016490	CLCA1
ENSP00000359594	ENSG00000016602	CLCA4
ENSP00000266014	ENSG00000016864	GLT8D1
ENSP00000376914	ENSG00000017260	ATP2C1
ENSP00000264659	ENSG00000017373	SRCIN1
ENSP00000302665	ENSG00000017427	IGF1
ENSP00000313740	ENSG00000017483	SLC38A5
ENSP00000019317	ENSG00000017797	RALBP1
ENSP00000370394	ENSG00000018189	RUFY3
ENSP00000325660	ENSG00000018236	CNTN1
ENSP00000233202	ENSG00000018280	SLC11A1
ENSP00000353847	ENSG00000018408	WWTR1
ENSP00000264167	ENSG00000018510	AGPS
ENSP00000360652	ENSG00000018610	CXorf56
ENSP00000354490	ENSG00000018625	ATP1A2
ENSP00000313953	ENSG00000018699	TTC27
ENSP00000318684	ENSG00000019102	VSIG2
ENSP00000318916	ENSG00000019169	MARCO
ENSP00000216862	ENSG00000019186	CYP24A1
ENSP00000020926	ENSG00000019505	SYT13
ENSP00000020945	ENSG00000019549	SNAI2
ENSP00000009530	ENSG00000019582	CD74
ENSP00000222390	ENSG00000019991	HGF
ENSP00000352676	ENSG00000019995	ZRANB1
ENSP00000348394	ENSG00000020129	NCDN
ENSP00000406367	ENSG00000020181	GPR124
ENSP00000216923	ENSG00000020256	ZFP64
ENSP00000261245	ENSG00000020426	MNAT1
ENSP00000350261	ENSG00000020577	SAMD4A
ENSP00000343477	ENSG00000020633	RUNX3
ENSP00000325863	ENSG00000020922	MRE11A
ENSP00000370115	ENSG00000021355	SERPINB1
ENSP00000023064	ENSG00000021488	SLC7A9
ENSP00000320885	ENSG00000021574	SPAST
ENSP00000338349	ENSG00000021645	NRXN3
ENSP00000263650	ENSG00000021762	OSBPL5
ENSP00000156471	ENSG00000021776	AQR
ENSP00000402608	ENSG00000021826	CPS1
ENSP00000360281	ENSG00000021852	C8B
ENSP00000071281	ENSG00000022267	FHL1
ENSP00000023939	ENSG00000022277	RTFDC1
ENSP00000023897	ENSG00000022355	GABRA1
ENSP00000322242	ENSG00000022840	RNF10
ENSP00000346402	ENSG00000023191	RNH1
ENSP00000392709	ENSG00000023228	NDUFS1
ENSP00000025008	ENSG00000023287	RB1CC1
ENSP00000262455	ENSG00000023318	ERP44
ENSP00000309259	ENSG00000023330	ALAS1
ENSP00000263464	ENSG00000023445	BIRC3
ENSP00000025301	ENSG00000023516	AKAP11
ENSP00000356410	ENSG00000023572	GLRX2
ENSP00000216294	ENSG00000023608	SNAPC1
ENSP00000416583	ENSG00000023697	DERA
ENSP00000392270	ENSG00000023734	STRAP
ENSP00000359478	ENSG00000023839	ABCC2
ENSP00000319831	ENSG00000023892	DEF6
ENSP00000358120	ENSG00000023902	PLEKHO1
ENSP00000359258	ENSG00000023909	GCLM
ENSP00000361990	ENSG00000024048	UBR2
ENSP00000263277	ENSG00000024422	EHD2
ENSP00000358423	ENSG00000025039	RRAGD
ENSP00000357440	ENSG00000025156	HSF2
ENSP00000363124	ENSG00000025293	PHF20
ENSP00000318631	ENSG00000025423	HSD17B6
ENSP00000387946	ENSG00000025434	NR1H3
ENSP00000252029	ENSG00000025708	TYMP
ENSP00000299821	ENSG00000025770	NCAPH2
ENSP00000361900	ENSG00000025772	TOMM34
ENSP00000357998	ENSG00000025796	SEC63
ENSP00000362728	ENSG00000025800	KPNA6
ENSP00000224237	ENSG00000026025	VIM
ENSP00000457868	ENSG00000026036	RTEL1-TNFRSF6B
ENSP00000347979	ENSG00000026103	FAS
ENSP00000422846	ENSG00000026297	RNASET2
ENSP00000398632	ENSG00000026508	CD44
ENSP00000360626	ENSG00000026559	KCNG1
ENSP00000314036	ENSG00000026652	AGPAT4
ENSP00000357022	ENSG00000026751	SLAMF7
ENSP00000289361	ENSG00000026950	BTN3A1
ENSP00000371607	ENSG00000027001	MIPEP
ENSP00000329127	ENSG00000027075	PRKCH
ENSP00000357178	ENSG00000027644	INSRR
ENSP00000356713	ENSG00000027697	IFNGR1
ENSP00000029410	ENSG00000027847	B4GALT7
ENSP00000376123	ENSG00000027869	SH2D2A
ENSP00000342381	ENSG00000028116	VRK2
ENSP00000365435	ENSG00000028137	TNFRSF1B
ENSP00000410083	ENSG00000028203	VEZT
ENSP00000431603	ENSG00000028277	POU2F2
ENSP00000453785	ENSG00000028528	SNX1
ENSP00000237264	ENSG00000028839	TBPL1
ENSP00000266503	ENSG00000029153	ARNTL2
ENSP00000435210	ENSG00000029363	BCLAF1
ENSP00000336887	ENSG00000029364	SLC39A9
ENSP00000265709	ENSG00000029534	ANK1
ENSP00000226284	ENSG00000029559	IBSP
ENSP00000356134	ENSG00000029639	TFB1M
ENSP00000262477	ENSG00000029725	RABEP1
ENSP00000367721	ENSG00000030066	NUP160
ENSP00000353878	ENSG00000030110	BAK1
ENSP00000363571	ENSG00000030304	MUSK
ENSP00000410447	ENSG00000030419	IKZF2
ENSP00000053867	ENSG00000030582	GRN
ENSP00000033079	ENSG00000031003	FAM13B
ENSP00000264245	ENSG00000031081	ARHGAP31
ENSP00000337289	ENSG00000031691	CENPQ
ENSP00000234677	ENSG00000031698	SARS
ENSP00000341483	ENSG00000031823	RANBP3
ENSP00000347602	ENSG00000032219	ARID4A
ENSP00000371559	ENSG00000032389	TSSC1
ENSP00000407509	ENSG00000032444	PNPLA6
ENSP00000323580	ENSG00000032742	IFT88
ENSP00000262374	ENSG00000033011	ALG1
ENSP00000337313	ENSG00000033030	ZCCHC8
ENSP00000222388	ENSG00000033050	ABCF2
ENSP00000035307	ENSG00000033100	CHPF2
ENSP00000035383	ENSG00000033122	LRRC7
ENSP00000353910	ENSG00000033170	FUT8
ENSP00000313454	ENSG00000033178	UBA6
ENSP00000354952	ENSG00000033327	GAB2
ENSP00000264649	ENSG00000033627	ATP6V0A1
ENSP00000249636	ENSG00000033800	PIAS1
ENSP00000295736	ENSG00000033867	SLC4A7
ENSP00000453144	ENSG00000034053	APBA2
ENSP00000345083	ENSG00000034152	MAP2K3
ENSP00000262103	ENSG00000034239	EFCAB1
ENSP00000233143	ENSG00000034510	TMSB10
ENSP00000342667	ENSG00000034677	RNF19A
ENSP00000356563	ENSG00000034693	PEX3
ENSP00000037243	ENSG00000034713	GABARAPL2
ENSP00000037502	ENSG00000034971	MYOC
ENSP00000348471	ENSG00000035115	SH3YL1
ENSP00000037869	ENSG00000035141	FAM136A
ENSP00000211998	ENSG00000035403	VCL
ENSP00000265036	ENSG00000035499	DEPDC1B
ENSP00000261891	ENSG00000035664	DAPK2
ENSP00000411012	ENSG00000035681	NSMAF
ENSP00000355493	ENSG00000035687	ADSS
ENSP00000265404	ENSG00000035720	STAP1
ENSP00000262768	ENSG00000035862	TIMP2
ENSP00000371321	ENSG00000035928	RFC1
ENSP00000377700	ENSG00000036054	TBC1D23
ENSP00000264414	ENSG00000036257	CUL3
ENSP00000262113	ENSG00000036448	MYOM2
ENSP00000039007	ENSG00000036473	OTC
ENSP00000261835	ENSG00000036530	CYP46A1
ENSP00000359837	ENSG00000036549	ZZZ3
ENSP00000276373	ENSG00000036565	SLC18A1
ENSP00000260187	ENSG00000036672	USP2
ENSP00000420194	ENSG00000036828	CASR
ENSP00000251412	ENSG00000037042	TUBG2
ENSP00000265100	ENSG00000037241	RPL26L1
ENSP00000261937	ENSG00000037280	FLT4
ENSP00000264670	ENSG00000037474	NSUN2
ENSP00000364742	ENSG00000037637	FBXO42
ENSP00000322956	ENSG00000037749	MFAP3
ENSP00000040663	ENSG00000037757	MRI1
ENSP00000314441	ENSG00000037897	METTL1
ENSP00000040584	ENSG00000037965	HOXC8
ENSP00000264595	ENSG00000038002	AGA
ENSP00000264864	ENSG00000038210	PI4K2B
ENSP00000040738	ENSG00000038219	BOD1L1
ENSP00000325425	ENSG00000038274	MAT2B
ENSP00000061240	ENSG00000038295	TLL1
ENSP00000351811	ENSG00000038358	EDC4
ENSP00000339299	ENSG00000038382	TRIO
ENSP00000265077	ENSG00000038427	VCAN
ENSP00000387122	ENSG00000038532	CLEC16A
ENSP00000262101	ENSG00000038945	MSR1
ENSP00000261769	ENSG00000039068	CDH1
ENSP00000230640	ENSG00000039123	SKIV2L2
ENSP00000265104	ENSG00000039139	DNAH5
ENSP00000337159	ENSG00000039319	ZFYVE16
ENSP00000263413	ENSG00000039537	C6
ENSP00000427123	ENSG00000039560	RAI14
ENSP00000265007	ENSG00000039600	SOX30
ENSP00000323511	ENSG00000039650	PNKP
ENSP00000042931	ENSG00000039987	BEST2
ENSP00000348611	ENSG00000040199	PHLPP2
ENSP00000265295	ENSG00000040275	SPDL1
ENSP00000428756	ENSG00000040341	STAU2
ENSP00000371294	ENSG00000040531	CTNS
ENSP00000043402	ENSG00000040608	RTN4R
ENSP00000264463	ENSG00000040731	CDH10
ENSP00000074304	ENSG00000040933	INPP4A
ENSP00000262094	ENSG00000041353	RAB27B
ENSP00000044462	ENSG00000041357	PSMA4
ENSP00000265245	ENSG00000041802	LSG1
ENSP00000381740	ENSG00000041880	PARP3
ENSP00000265131	ENSG00000041982	TNC
ENSP00000054650	ENSG00000041988	THAP3
ENSP00000337353	ENSG00000042088	TDP1
ENSP00000312370	ENSG00000042286	AIFM2
ENSP00000377176	ENSG00000042317	SPATA7
ENSP00000251871	ENSG00000042429	MED17
ENSP00000295802	ENSG00000042445	RETSAT
ENSP00000263867	ENSG00000042493	CAPG
ENSP00000263270	ENSG00000042753	AP2S1
ENSP00000305941	ENSG00000042781	USH2A
ENSP00000046087	ENSG00000042813	ZPBP
ENSP00000220616	ENSG00000042832	TG
ENSP00000265769	ENSG00000042980	ADAM28
ENSP00000281437	ENSG00000043039	BARX2
ENSP00000292782	ENSG00000043093	DCUN1D1
ENSP00000378451	ENSG00000043143	JADE2
ENSP00000365514	ENSG00000043355	ZIC2
ENSP00000046794	ENSG00000043462	LCP2
ENSP00000321810	ENSG00000043514	TRIT1
ENSP00000358301	ENSG00000043591	ADRB1
ENSP00000438788	ENSG00000044090	CUL7
ENSP00000304669	ENSG00000044115	CTNNA1
ENSP00000369274	ENSG00000044446	PHKA2
ENSP00000337451	ENSG00000044524	EPHA3
ENSP00000324173	ENSG00000044574	HSPA5
ENSP00000261590	ENSG00000046604	DSG2
ENSP00000369895	ENSG00000046647	GEMIN8
ENSP00000344314	ENSG00000046651	OFD1
ENSP00000316861	ENSG00000046653	GPM6B
ENSP00000354660	ENSG00000046774	MAGEC2
ENSP00000288368	ENSG00000046889	PREX2
ENSP00000161863	ENSG00000047188	YTHDC2
ENSP00000352222	ENSG00000047230	CTPS2
ENSP00000352522	ENSG00000047249	ATP6V1H
ENSP00000312735	ENSG00000047315	POLR2B
ENSP00000302895	ENSG00000047365	ARAP2
ENSP00000356448	ENSG00000047410	TPR
ENSP00000264613	ENSG00000047457	CP
